K = 1,P = 1,uniform,Micro = 0.9368,Macro = 0.5296073471759768,Precision = 0.9333292017188162,Recall = 0.9368
K = 1,P = 1,distance,Micro = 0.9368,Macro = 0.5296073471759768,Precision = 0.9333292017188162,Recall = 0.9368
K = 1,P = 2,uniform,Micro = 0.9386666666666666,Macro = 0.5549939737154933,Precision = 0.936915257118572,Recall = 0.9386666666666666
K = 1,P = 2,distance,Micro = 0.9386666666666666,Macro = 0.5549939737154933,Precision = 0.936915257118572,Recall = 0.9386666666666666
K = 2,P = 1,uniform,Micro = 0.9602666666666667,Macro = 0.5212980597471426,Precision = 0.9376080297283836,Recall = 0.9602666666666667
K = 2,P = 1,distance,Micro = 0.9368,Macro = 0.5296073471759768,Precision = 0.9333292017188162,Recall = 0.9368
K = 2,P = 2,uniform,Micro = 0.9610666666666666,Macro = 0.5280318886655242,Precision = 0.940153565683646,Recall = 0.9610666666666666
K = 2,P = 2,distance,Micro = 0.9386666666666666,Macro = 0.5549939737154933,Precision = 0.936915257118572,Recall = 0.9386666666666666
K = 3,P = 1,uniform,Micro = 0.9568,Macro = 0.5438764569674654,Precision = 0.9382960702546239,Recall = 0.9568
K = 3,P = 1,distance,Micro = 0.9530666666666666,Macro = 0.538972215392181,Precision = 0.9361511114431951,Recall = 0.9530666666666666
K = 3,P = 2,uniform,Micro = 0.9554666666666667,Macro = 0.5272653707635995,Precision = 0.9351526075746075,Recall = 0.9554666666666667
K = 3,P = 2,distance,Micro = 0.9522666666666667,Macro = 0.5240209012438212,Precision = 0.933735003075409,Recall = 0.9522666666666667
K = 4,P = 1,uniform,Micro = 0.9629333333333333,Macro = 0.5177589599691366,Precision = 0.9450544061302683,Recall = 0.9629333333333333
K = 4,P = 1,distance,Micro = 0.9546666666666667,Macro = 0.5313892049714644,Precision = 0.9355094543490006,Recall = 0.9546666666666667
K = 4,P = 2,uniform,Micro = 0.9626666666666667,Macro = 0.5175058083110313,Precision = 0.9434096256684491,Recall = 0.9626666666666667
K = 4,P = 2,distance,Micro = 0.9541333333333334,Macro = 0.520853638243754,Precision = 0.9336742980561555,Recall = 0.9541333333333334
K = 5,P = 1,uniform,Micro = 0.9613333333333334,Macro = 0.5283432117420205,Precision = 0.9407437543201344,Recall = 0.9613333333333334
K = 5,P = 1,distance,Micro = 0.9597333333333333,Macro = 0.5321311272231518,Precision = 0.9388489330587639,Recall = 0.9597333333333333
K = 5,P = 2,uniform,Micro = 0.9610666666666666,Macro = 0.5338044959128065,Precision = 0.9410627389777605,Recall = 0.9610666666666666
K = 5,P = 2,distance,Micro = 0.9594666666666667,Macro = 0.5318059803982771,Precision = 0.9384990865126276,Recall = 0.9594666666666667
K = 6,P = 1,uniform,Micro = 0.9626666666666667,Macro = 0.49752879877799006,Precision = 0.9371735184196476,Recall = 0.9626666666666667
K = 6,P = 1,distance,Micro = 0.96,Macro = 0.5268162684352382,Precision = 0.9382769726247986,Recall = 0.96
K = 6,P = 2,uniform,Micro = 0.9629333333333333,Macro = 0.5177589599691366,Precision = 0.9450544061302683,Recall = 0.9629333333333333
K = 6,P = 2,distance,Micro = 0.9594666666666667,Macro = 0.5205071520143747,Precision = 0.9364851315083199,Recall = 0.9594666666666667
K = 7,P = 1,uniform,Micro = 0.9624,Macro = 0.5108202399686925,Precision = 0.9407080459770115,Recall = 0.9624
K = 7,P = 1,distance,Micro = 0.9605333333333334,Macro = 0.5274182561307902,Precision = 0.9391316426063208,Recall = 0.9605333333333334
K = 7,P = 2,uniform,Micro = 0.9608,Macro = 0.5218376008694966,Precision = 0.9385487508640268,Recall = 0.9608
K = 7,P = 2,distance,Micro = 0.96,Macro = 0.5210320163487738,Precision = 0.937200546234881,Recall = 0.96
K = 8,P = 1,uniform,Micro = 0.9629333333333333,Macro = 0.497647980617163,Precision = 0.9402495863357353,Recall = 0.9629333333333333
K = 8,P = 1,distance,Micro = 0.9624,Macro = 0.5235194408573857,Precision = 0.9430735143368806,Recall = 0.9624
K = 8,P = 2,uniform,Micro = 0.9624,Macro = 0.5108202399686925,Precision = 0.9407080459770115,Recall = 0.9624
K = 8,P = 2,distance,Micro = 0.9608,Macro = 0.5218376008694966,Precision = 0.9385487508640268,Recall = 0.9608
K = 9,P = 1,uniform,Micro = 0.9613333333333334,Macro = 0.5035602150645623,Precision = 0.9348560869459506,Recall = 0.9613333333333334
K = 9,P = 1,distance,Micro = 0.9613333333333334,Macro = 0.5223874042029908,Precision = 0.9397064653881911,Recall = 0.9613333333333334
K = 9,P = 2,uniform,Micro = 0.9616,Macro = 0.5102040816326531,Precision = 0.9376134831460674,Recall = 0.9616
K = 9,P = 2,distance,Micro = 0.9605333333333334,Macro = 0.5215665720719012,Precision = 0.9380553351206433,Recall = 0.9605333333333334
K = 10,P = 1,uniform,Micro = 0.9616,Macro = 0.49705872491347547,Precision = 0.9325358631747729,Recall = 0.9616
K = 10,P = 1,distance,Micro = 0.9613333333333334,Macro = 0.5223874042029908,Precision = 0.9397064653881911,Recall = 0.9613333333333334
K = 10,P = 2,uniform,Micro = 0.9624,Macro = 0.5042077873367871,Precision = 0.9387169039349644,Recall = 0.9624
K = 10,P = 2,distance,Micro = 0.9616,Macro = 0.5226662800852836,Precision = 0.940392126405999,Recall = 0.9616
Combinacion optima:
K = 4,P = 1,uniform,Micro = 0.9629333333333333,Macro = 0.5177589599691366,Precision = 0.9450544061302683,Recall = 0.9629333333333333
