K = 1,P = 1,uniform,Micro = 0.9381333333333334,Macro = 0.551124356095628,Precision = 0.9363661028474287,Recall = 0.9381333333333334
K = 1,P = 1,distance,Micro = 0.9381333333333334,Macro = 0.551124356095628,Precision = 0.9363661028474287,Recall = 0.9381333333333334
K = 1,P = 2,uniform,Micro = 0.94,Macro = 0.5630979732406247,Precision = 0.9380682453131924,Recall = 0.94
K = 1,P = 2,distance,Micro = 0.94,Macro = 0.5630979732406247,Precision = 0.9380682453131924,Recall = 0.94
K = 2,P = 1,uniform,Micro = 0.9616,Macro = 0.528657616892911,Precision = 0.9413984994640944,Recall = 0.9616
K = 2,P = 1,distance,Micro = 0.9381333333333334,Macro = 0.551124356095628,Precision = 0.9363661028474287,Recall = 0.9381333333333334
K = 2,P = 2,uniform,Micro = 0.9616,Macro = 0.528657616892911,Precision = 0.9413984994640944,Recall = 0.9616
K = 2,P = 2,distance,Micro = 0.94,Macro = 0.5630979732406247,Precision = 0.9380682453131924,Recall = 0.94
K = 3,P = 1,uniform,Micro = 0.956,Macro = 0.5379052151177249,Precision = 0.9370234817813764,Recall = 0.956
K = 3,P = 1,distance,Micro = 0.9525333333333333,Macro = 0.53831660898218,Precision = 0.9359215176151761,Recall = 0.9525333333333333
K = 3,P = 2,uniform,Micro = 0.956,Macro = 0.5226324304432054,Precision = 0.9346005845407623,Recall = 0.956
K = 3,P = 2,distance,Micro = 0.9533333333333334,Macro = 0.5299132748193255,Precision = 0.9348850929616567,Recall = 0.9533333333333334
K = 4,P = 1,uniform,Micro = 0.9632,Macro = 0.518014611375414,Precision = 0.9471080705505078,Recall = 0.9632
K = 4,P = 1,distance,Micro = 0.9557333333333333,Macro = 0.5471594347967783,Precision = 0.9382348108108108,Recall = 0.9557333333333333
K = 4,P = 2,uniform,Micro = 0.9629333333333333,Macro = 0.5241025509929252,Precision = 0.9456652775413941,Recall = 0.9629333333333333
K = 4,P = 2,distance,Micro = 0.9552,Macro = 0.5319965768892481,Precision = 0.935794384449244,Recall = 0.9552
K = 5,P = 1,uniform,Micro = 0.9621333333333333,Macro = 0.5352040388805095,Precision = 0.9437010360843159,Recall = 0.9621333333333333
K = 5,P = 1,distance,Micro = 0.9594666666666667,Macro = 0.5318059803982771,Precision = 0.9384990865126276,Recall = 0.9594666666666667
K = 5,P = 2,uniform,Micro = 0.9624,Macro = 0.5355629240870462,Precision = 0.9445519232284395,Recall = 0.9624
K = 5,P = 2,distance,Micro = 0.9597333333333333,Macro = 0.5321311272231518,Precision = 0.9388489330587639,Recall = 0.9597333333333333
K = 6,P = 1,uniform,Micro = 0.9629333333333333,Macro = 0.5045392286115407,Precision = 0.9429413084112149,Recall = 0.9629333333333333
K = 6,P = 1,distance,Micro = 0.9608,Macro = 0.5334632724515246,Precision = 0.9405445666756105,Recall = 0.9608
K = 6,P = 2,uniform,Micro = 0.9621333333333333,Macro = 0.5106130341440461,Precision = 0.9394720855614973,Recall = 0.9621333333333333
K = 6,P = 2,distance,Micro = 0.9608,Macro = 0.5334632724515246,Precision = 0.9405445666756105,Recall = 0.9608
K = 7,P = 1,uniform,Micro = 0.9624,Macro = 0.5172551056834709,Precision = 0.9420622140095796,Recall = 0.9624
K = 7,P = 1,distance,Micro = 0.9605333333333334,Macro = 0.5215665720719012,Precision = 0.9380553351206433,Recall = 0.9605333333333334
K = 7,P = 2,uniform,Micro = 0.9626666666666667,Macro = 0.5238095238095238,Precision = 0.9442621722846443,Recall = 0.9626666666666667
K = 7,P = 2,distance,Micro = 0.9613333333333334,Macro = 0.5223874042029908,Precision = 0.9397064653881911,Recall = 0.9613333333333334
K = 8,P = 1,uniform,Micro = 0.9629333333333333,Macro = 0.5045392286115407,Precision = 0.9429413084112149,Recall = 0.9629333333333333
K = 8,P = 1,distance,Micro = 0.9626666666666667,Macro = 0.5299472824685557,Precision = 0.9449397369226064,Recall = 0.9626666666666667
K = 8,P = 2,uniform,Micro = 0.9634666666666667,Macro = 0.504876067226988,Precision = 0.9527733119829198,Recall = 0.9634666666666667
K = 8,P = 2,distance,Micro = 0.9621333333333333,Macro = 0.5292959150840991,Precision = 0.9429500803427958,Recall = 0.9621333333333333
K = 9,P = 1,uniform,Micro = 0.9632,Macro = 0.5114532354540511,Precision = 0.9468692307692307,Recall = 0.9632
K = 9,P = 1,distance,Micro = 0.9624,Macro = 0.5235194408573857,Precision = 0.9430735143368806,Recall = 0.9624
K = 9,P = 2,uniform,Micro = 0.9632,Macro = 0.5114532354540511,Precision = 0.9468692307692307,Recall = 0.9632
K = 9,P = 2,distance,Micro = 0.9629333333333333,Macro = 0.5302780303487703,Precision = 0.9461620304234166,Recall = 0.9629333333333333
K = 10,P = 1,uniform,Micro = 0.9637333333333333,Macro = 0.5050465838509317,Precision = 0.9650493062966915,Recall = 0.9637333333333333
K = 10,P = 1,distance,Micro = 0.9621333333333333,Macro = 0.5170068027210885,Precision = 0.9409378277153557,Recall = 0.9621333333333333
K = 10,P = 2,uniform,Micro = 0.964,Macro = 0.512104153836813,Precision = 0.965297037630104,Recall = 0.964
K = 10,P = 2,distance,Micro = 0.9621333333333333,Macro = 0.5170068027210885,Precision = 0.9409378277153557,Recall = 0.9621333333333333
K = 11,P = 1,uniform,Micro = 0.9629333333333333,Macro = 0.5112403009915845,Precision = 0.944231380481661,Recall = 0.9629333333333333
K = 11,P = 1,distance,Micro = 0.9624,Macro = 0.5235194408573857,Precision = 0.9430735143368806,Recall = 0.9624
K = 11,P = 2,uniform,Micro = 0.9634666666666667,Macro = 0.5116681605739646,Precision = 0.9505585046728973,Recall = 0.9634666666666667
K = 11,P = 2,distance,Micro = 0.9626666666666667,Macro = 0.5238095238095238,Precision = 0.9442621722846443,Recall = 0.9626666666666667
K = 12,P = 1,uniform,Micro = 0.9629333333333333,Macro = 0.4905583480505366,Precision = 0.9277447852760736,Recall = 0.9629333333333333
K = 12,P = 1,distance,Micro = 0.9621333333333333,Macro = 0.5170068027210885,Precision = 0.9409378277153557,Recall = 0.9621333333333333
K = 12,P = 2,uniform,Micro = 0.9629333333333333,Macro = 0.4905583480505366,Precision = 0.9277447852760736,Recall = 0.9629333333333333
K = 12,P = 2,distance,Micro = 0.9626666666666667,Macro = 0.5175058083110313,Precision = 0.9434096256684491,Recall = 0.9626666666666667
K = 13,P = 1,uniform,Micro = 0.9626666666666667,Macro = 0.4904891304347826,Precision = 0.927735325506937,Recall = 0.9626666666666667
K = 13,P = 1,distance,Micro = 0.9632,Macro = 0.5243985824780166,Precision = 0.947347165775401,Recall = 0.9632
K = 13,P = 2,uniform,Micro = 0.9632,Macro = 0.4977678571428571,Precision = 0.9463923159018143,Recall = 0.9632
K = 13,P = 2,distance,Micro = 0.9632,Macro = 0.5243985824780166,Precision = 0.947347165775401,Recall = 0.9632
K = 14,P = 1,uniform,Micro = 0.9629333333333333,Macro = 0.4905583480505366,Precision = 0.9277447852760736,Recall = 0.9629333333333333
K = 14,P = 1,distance,Micro = 0.9626666666666667,Macro = 0.5110293158881012,Precision = 0.9422506680919294,Recall = 0.9626666666666667
K = 14,P = 2,uniform,Micro = 0.9632,Macro = 0.4906275468622657,Precision = 0.92775424,Recall = 0.9632
K = 14,P = 2,distance,Micro = 0.9629333333333333,Macro = 0.5177589599691366,Precision = 0.9450544061302683,Recall = 0.9629333333333333
K = 15,P = 1,uniform,Micro = 0.9624,Macro = 0.49041989400733793,Precision = 0.9277258606885508,Recall = 0.9624
K = 15,P = 1,distance,Micro = 0.9634666666666667,Macro = 0.5246976799695806,Precision = 0.9494007662835249,Recall = 0.9634666666666667
K = 15,P = 2,uniform,Micro = 0.9632,Macro = 0.4906275468622657,Precision = 0.92775424,Recall = 0.9632
K = 15,P = 2,distance,Micro = 0.9634666666666667,Macro = 0.5246976799695806,Precision = 0.9494007662835249,Recall = 0.9634666666666667
K = 16,P = 1,uniform,Micro = 0.9632,Macro = 0.4906275468622657,Precision = 0.92775424,Recall = 0.9632
K = 16,P = 1,distance,Micro = 0.9634666666666667,Macro = 0.5246976799695806,Precision = 0.9494007662835249,Recall = 0.9634666666666667
K = 16,P = 2,uniform,Micro = 0.9632,Macro = 0.4906275468622657,Precision = 0.92775424,Recall = 0.9632
K = 16,P = 2,distance,Micro = 0.964,Macro = 0.5253053283011792,Precision = 0.9552603335750544,Recall = 0.964
K = 17,P = 1,uniform,Micro = 0.9634666666666667,Macro = 0.504876067226988,Precision = 0.9527733119829198,Recall = 0.9634666666666667
K = 17,P = 1,distance,Micro = 0.9637333333333333,Macro = 0.5249999068627268,Precision = 0.9519654730090861,Recall = 0.9637333333333333
K = 17,P = 2,uniform,Micro = 0.9634666666666667,Macro = 0.49788844376203967,Precision = 0.9648017071218992,Recall = 0.9634666666666667
K = 17,P = 2,distance,Micro = 0.964,Macro = 0.5253053283011792,Precision = 0.9552603335750544,Recall = 0.964
K = 18,P = 1,uniform,Micro = 0.9634666666666667,Macro = 0.49788844376203967,Precision = 0.9648017071218992,Recall = 0.9634666666666667
K = 18,P = 1,distance,Micro = 0.9634666666666667,Macro = 0.5182728146463818,Precision = 0.9497458570283577,Recall = 0.9634666666666667
K = 18,P = 2,uniform,Micro = 0.9632,Macro = 0.4906275468622657,Precision = 0.92775424,Recall = 0.9632
K = 18,P = 2,distance,Micro = 0.9634666666666667,Macro = 0.5116681605739646,Precision = 0.9505585046728973,Recall = 0.9634666666666667
K = 19,P = 1,uniform,Micro = 0.9634666666666667,Macro = 0.49788844376203967,Precision = 0.9648017071218992,Recall = 0.9634666666666667
K = 19,P = 1,distance,Micro = 0.9634666666666667,Macro = 0.5116681605739646,Precision = 0.9505585046728973,Recall = 0.9634666666666667
K = 19,P = 2,uniform,Micro = 0.9629333333333333,Macro = 0.4905583480505366,Precision = 0.9277447852760736,Recall = 0.9629333333333333
K = 19,P = 2,distance,Micro = 0.964,Macro = 0.5187970925363885,Precision = 0.9581757009345795,Recall = 0.964
K = 20,P = 1,uniform,Micro = 0.9632,Macro = 0.4906275468622657,Precision = 0.92775424,Recall = 0.9632
K = 20,P = 1,distance,Micro = 0.9634666666666667,Macro = 0.5116681605739646,Precision = 0.9505585046728973,Recall = 0.9634666666666667
K = 20,P = 2,uniform,Micro = 0.9632,Macro = 0.4906275468622657,Precision = 0.92775424,Recall = 0.9632
K = 20,P = 2,distance,Micro = 0.9637333333333333,Macro = 0.5118851188129047,Precision = 0.9560877736252003,Recall = 0.9637333333333333
Combinacion optima:
K = 10,P = 2,uniform,Micro = 0.964,Macro = 0.512104153836813,Precision = 0.965297037630104,Recall = 0.964
